City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Busselton,72,AU,1586729043,71,-33.65,115.33,62.01,9.28
Solnechnyy,0,RU,1586729188,74,50.72,136.63,34.16,1.03
Mayang Imphal,0,IN,1586729189,48,24.62,93.88,59.47,0.87
Yulara,0,AU,1586729189,45,-25.24,130.99,66.2,5.82
Syracuse,0,IT,1586728991,87,37.09,15.28,55.99,3.36
Ushuaia,75,AR,1586729190,86,-54.8,-68.3,41.0,23.04
Carnarvon,2,AU,1586729190,100,-24.87,113.63,75.2,16.11
Butaritari,98,KI,1586729191,81,3.07,172.79,83.01,16.02
Oktyabrskoye,96,RU,1586729191,66,43.06,44.74,33.69,4.18
Cockburn Town,0,TC,1586729092,80,21.46,-71.14,79.93,15.59
Nanortalik,85,GL,1586729192,90,60.14,-45.24,33.73,21.18
Reyes,36,BO,1586729193,50,-14.32,-67.38,87.39,2.17
Torbay,75,CA,1586729194,52,47.67,-52.73,42.8,9.17
Shahrud,0,IR,1586729195,42,36.42,54.98,46.29,6.55
Mataura,95,NZ,1586729195,74,-46.19,168.86,48.0,14.0
Monrovia,75,LR,1586729143,94,6.3,-10.8,75.2,8.05
Provideniya,100,RU,1586729196,80,64.38,-173.3,30.2,8.95
